,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
2013,Toyota Auto Body (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/446150-toyota-auto-body-m,3.9032,12,11,4,1,3,87%,67%,"Persiaran Perusahaan, Kawasan Miel, 40300 Shah Alam, Selangor, Malaysia",No Info,201 - 500 Employees,"Medical, Miscellaneous allowance, Parking",Uniform,English,"Regular hours, Mondays - Fridays"
2014,Flextronics Technology Malaysia Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/439817-flextronics-technology-malaysia,4.2903,20,6,1,2,2,87%,70%,No Info,No Info,1 - 50 Employees,No Info,No Info,No Info,No Info
2015,Pusat Pakaian Hari-Hari Sdn Bhd,https://www.jobstreet.com.my/en/companies/448970-pusat-pakaian-hari-hari,4.4516,20,7,3,0,1,100%,87%,"Jalan Kpb 10, Kawasan Perindustrian Kampung Baru Balakong, 43300 Seri Kembangan, Selangor, Malaysia",hari.com.my,501 - 1000 Employees,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),"Chinese, Bahasa Malaysia, English","Regular hours, Mondays - Fridays"
2016,Icon Offshore,https://www.jobstreet.com.my/en/companies/462596-icon-offshore,3.1935,7,8,6,4,6,83%,58%,Sunway Tower Jalan Ampang,iconoffshore.com.my,51 - 200 Employees,"Medical, Dental, Parking, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2017,BCM Electronics Corporation Sdn Bhd,https://www.jobstreet.com.my/en/companies/439452-bcm-electronics-corporation,3.4516,10,6,6,6,3,74%,51%,"Jalan Hi-tech 4, Kulim Hi-tech Park, 09000 Kulim, Kedah, Malaysia",No Info,501 - 1000 Employees,"Medical, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2018,Lafarge Malayan Cement Bhd,https://www.jobstreet.com.my/en/companies/612704-lafarge-malayan-cement,4.5806,22,6,2,1,0,90%,96%,No Info,malayancement.com.my,No Info,No Info,No Info,No Info,No Info
2019,Nano Life Quest Sdn Bhd,https://www.jobstreet.com.my/en/companies/454777-nano-life-quest,3.2581,9,9,3,1,9,58%,45%,"No.2A, Jalan Sepadu 25/123A, Axis Industrial Park, Seksyen 25, 40400 Shah Alam, Selangor D.E.",No Info,1 - 50 Employees,"Dental, Medical, Miscellaneous allowance, Parking, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2020,PICOGEN INDUSTRY SDN BHD,https://www.jobstreet.com.my/en/companies/866896-picogen-industry,1.5806,4,0,0,2,25,32%,9%,No Info,picogenki.com,1 - 50 Employees,No Info,Business (e.g. Shirts),No Info,"Regular hours, Mondays - Fridays"
2021,HGST Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/440208-hgst-malaysia,4.4516,17,11,3,0,0,96%,100%,"Sama Jaya Free Industrial Zone, Kuching, Sarawak, Malaysia",No Info,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
2022,Poto Travel & Tours Sdn Bhd,https://www.jobstreet.com.my/en/companies/635205-poto-travel-n-tours,4.5484,23,5,1,1,1,90%,90%,"Jalan 4/91, Taman Shamelin Perkasa, 56100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",No Info,1 - 50 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2023,Wearnes Automotive Sdn Bhd,https://www.jobstreet.com.my/en/companies/442945-wearnes-automotive,3.7742,13,7,6,1,4,93%,77%,"5 & 7, Jalan Dua, off Jalan Sungai Besi, 55200 Kuala Lumpur",No Info,51 - 200 Employees,"Medical, Education support, Contractual Bonus, Incentives, Term Life Insurance",Business (e.g. Shirts),English,Five days work
