,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
3760,Vivo Food Sdn Bhd,https://www.jobstreet.com.my/en/companies/448373-vivo-food,3.4737,4,6,4,5,0,63%,52%,"No.13 & 15, Jalan Teknologi Perintis 1/1, Taman Teknologi Nusajaya, 79200 Nusajaya, Johor.",vivopizza.com,201 - 500 Employees,"Medical, Miscellaneous allowance",Uniform,English,5 days per week (including weekend and Public Holidays)
3761,The IBR Asia Group Sdn Bhd,https://www.jobstreet.com.my/en/companies/450200-the-ibr-asia-group,2.9474,8,0,2,1,8,84%,42%,"Unit No.23A-8, Oval Damansara, No.685, Jalan Damansara, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Malaysia",ibrasiagroup.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Education support",Business (e.g. Shirts),English,9 am - 6 pm
3762,Starlite Printers (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/461845-starlite-printers-m,3.1053,4,4,6,0,5,78%,42%,"PLO 17, Jalan Persiaran Teknologi,Taman Teknologi Johor, 81400 Senai Johor.",No Info,201 - 500 Employees,"Medical, Parking",Formal (e.g. Shirts + Ties),English and Bahasa Malaysia,"Monday-Friday, Alternate Saturday"
3763,Dexion Asia Sdn Bhd,https://www.jobstreet.com.my/en/companies/441777-dexion-asia,3.8421,9,3,4,1,2,78%,73%,MR2-1-1 Sri Acappella Commercial Annex No 1 Jalan Lompat Tinggi 13/33 Seksyen 13 Shah Alam 40100 Selangor,No Info,51 - 200 Employees,"Medical, Dental, Group Hospitalization & Term Life Insurance, Internal & External Training","Business Attire, casual Fridays","English, Bahasa Malaysia, Mandarin","Regular hours, Mondays - Fridays"
3764,EITA Resources Bhd,https://www.jobstreet.com.my/en/companies/441846-eita-resources,3.4737,6,4,5,1,3,63%,52%,"4 Jalan SS 13/7, Subang Jaya Industrial Estate, 47500 Subang Jaya, Selangor, Malaysia",eita.com.my,501 - 1000 Employees,"Medical, Dental, Parking, Insurance, Bonus, Annual Trip, Marriage Token, Free Weekly Meatless Lunch","Business (e.g. Shirts), Casual on Friday (e.g. T-shirts)",English,"Regular hours, Mondays - Fridays"
3765,Nu Vending Sdn Bhd,https://www.jobstreet.com.my/en/companies/987621-nu-vending,3.0,7,1,2,3,6,73%,42%,"No. 7, Jalan Kidamai 2/1, Taman Perindustrian Kidamai 2, 43000 Kajang, Selangor",nuvending.my,51 - 200 Employees,"Medical, Miscellaneous allowance",Uniform,English,"Regular hours, Mondays - Fridays"
3766,TEKMARK SDN BHD,https://www.jobstreet.com.my/en/companies/443665-tekmark,3.0,4,4,3,4,4,78%,42%,"B-G-8, Endah Promenade, No. 5, Jalan 3/149E, Taman Sri Endah, Bandar Baru Sri Petaling, 57000 Kuala Lumpur.",tekmarkgroup.com,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3767,Jack-In Pile (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/452201-jack-in-pile-m,3.7368,6,6,5,0,2,73%,52%,"No 59-3, Jalan Sri Permaisuri 8, Bandar Sri Permaisuri, 56000 Kuala Lumpur.",jackinpile.com.my,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Vision",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
3768,Karex Industries Sdn Bhd,https://www.jobstreet.com.my/en/companies/473380-karex-industries,3.9474,7,6,4,2,0,73%,73%,"Lot 594 Persiaran Raja Lumu, Pandamaran Industrial Estate, 42000 Port Klang, Selangor",No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,Saturdays/Shift required
3769,JIN YE YE SDN BHD,https://www.jobstreet.com.my/en/companies/817630-jin-ye-ye,2.7895,6,2,1,2,8,68%,36%,"HQ: Batu Pahat, Johor |  KL Office: V02-06-12, SUNWAY VELOCITY OFFICE, LINGKARAN SV, 55100, SELANGOR",jinyeye.com.my,51 - 200 Employees,"Medical, Miscellaneous allowance, Education support, Parking",Casual (e.g. T-shirts),Mandarin,"Regular hours, Mondays - Fridays"
3770,Astaka Padu Sdn Bhd,https://www.jobstreet.com.my/en/companies/657792-astaka-padu,3.8333,5,7,5,0,1,84%,68%,"No. 22, Jalan Padi Emas 1/4, UDA Business Centre, Johor Bahru, Johor.",No Info,51 - 200 Employees,"Medical, Phone Allowance, Corporate Uniform, Insurance Coverage",Business (e.g. Shirts),English & Bahasa Melayu,Sunday-Thursday
3771,KCJ ENGINEERING SDN. BHD.,https://www.jobstreet.com.my/en/companies/470122-kcj-engineering,4.1053,8,8,1,1,1,94%,73%,"no 26 & 26A, jalan badminton 13/29, seksyen 13, 40100 shah alam, selangor.",No Info,51 - 200 Employees,Medical,Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
3772,Sime Plantation Sdn Bhd,https://www.jobstreet.com.my/en/companies/610140-sime-plantation,4.3889,9,7,2,0,0,94%,100%,"1st Floor, Wisma Consplant 1, No 2, Jalan SS16/4  Subang Jaya 47500",simedarby.net,No Info,No Info,No Info,No Info,No Info
3773,"Sunway Career Services, Sunway University (JPS)",https://www.jobstreet.com.my/en/companies/626143-sunway-career-services-sunway-university-jps,4.3333,9,6,3,0,0,83%,88%,Sunway University Jalan Universiti Bandar Sunway Petaling Jaya Selangor Malaysia,No Info,More than 5000 Employees,"Dental, Education support, Loans, Medical, Miscellaneous allowance, Parking, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3774,Discovery Overland Holidays Sdn Bhd,https://www.jobstreet.com.my/en/companies/443375-discovery-overland-holidays,3.3889,4,5,5,2,2,83%,61%,66 Jalan Metro Pudu 2 Fraser Business Park 55200 Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,discoveryoverland.com,51 - 200 Employees,"GHS & GPA Insurance, Medical, Miscellaneous allowance, Loans, Parking",Business (e.g. Shirts),English,Monday - Friday & Operational hours for limo counter and operation staff
3775,Pyrogen Manufacturing Sdn Bhd,https://www.jobstreet.com.my/en/companies/444103-pyrogen-manufacturing,2.7222,6,2,0,1,9,61%,44%,"No. 25, Jalan PJS 11/8, Bandar Sunway, 46150 Petaling Jaya, Selangor Darul Ehsan",pyrogenfire.com,1 - 50 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3776,bolttech,https://www.jobstreet.com.my/en/companies/444620-bolttech,2.8333,4,4,2,1,7,66%,44%,"Suite 1-3, Level 1, Lobby B, UOA Corporate Tower, Avenue 10, Bangsar South City, No. 8, Jalan Kerinchi, 59200 Kuala Lumpur.",bolttech.io,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Group Insurance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3777,Clarisound Professional Hearing Care,https://www.jobstreet.com.my/en/companies/451499-clarisound-professional-hearing-care,2.9444,5,3,1,4,5,44%,44%,"Lot S-065, Mid Valley Megamall, Mid Valley city, Lingkaran Syed Putra 59200 Kuala Lumpur",clarisound.com,1 - 50 Employees,Medical,Uniform Provided,English,Weekend or shift required
3778,Holiday Inn Melaka,https://www.jobstreet.com.my/en/companies/455158-holiday-inn-melaka,4.1667,9,6,1,1,1,77%,72%,"Jalan Syed Abdul Aziz , 75000",No Info,51 - 200 Employees,"Medical, Parking",Formal (e.g. Shirts + Ties),English,Saturdays/Shift required
3779,Caffe Bene Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/464695-caffe-bene-malaysia,3.7778,8,5,1,1,3,77%,72%,"NO 7 Lorong Teknologi 3/4, Nouvelle Industrial Park 2, Taman Sains Selangor 1, Kota Damansara, 47810 Petaling Jaya, Selangor D.",No Info,1 - 50 Employees,"Insurance, Training & Development, Medical",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
3780,CK Music Sdn Bhd,https://www.jobstreet.com.my/en/companies/447152-ck-music,2.1111,2,2,1,4,9,55%,22%,"125 Jalan Imbi, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ckmusic.com.my,1 - 50 Employees,"Medical, Miscellaneous allowance, Dental",Smart Casual,English,"Regular hours, Monday-Saturday, (10am-7pm)"
3781,BTLION ADVISORY,https://www.jobstreet.com.my/en/companies/997695-btlion-advisory,4.3889,13,3,0,0,2,94%,88%,No Info,No Info,More than 5000 Employees,"Miscellaneous allowance, Oversea incentive",Formal (e.g. Shirts + Ties),Mandarin,"Regular hours, Mondays - Fridays"
3782,Malaysian Phosphate Additives Sdn Bhd,https://www.jobstreet.com.my/en/companies/624081-malaysian-phosphate-additives,4.4444,10,6,2,0,0,94%,72%,609 6th Floor Block F Phileo Damansara No.9 Jalan 16/11 off Jalan Damansara 46350 PJ,malaysianphosphate.com,1 - 50 Employees,Medical,Business (e.g. Shirts),English and Bahasa Malaysia,"Regular hours, Mondays - Fridays"
3783,Cake Experiential Communications (Asia) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/456861-cake-experiential-communications-asia,3.0,5,4,2,0,7,88%,50%,"A-1-06, Block A (GF), Mayang AVE, Jalan SS25/22, Taman Mayang, 47301 Petaling Jaya.",cakexp.com,1 - 50 Employees,"Medical, Miscellaneous allowance",Smart Casual,English,"Regular hours, Mondays - Fridays"
3784,KJM ALUMINIUM CAN SDN BHD,https://www.jobstreet.com.my/en/companies/450044-kjm-aluminium-can,4.1111,6,8,4,0,0,94%,72%,"Lot 6, Jalan Perusahaan Satu, 68100 Batu Caves, Selangor",No Info,51 - 200 Employees,Medical,Business (e.g. Shirts),English,Saturdays/Shift required
3785,Novotel Kuala Lumpur City Centre,https://www.jobstreet.com.my/en/companies/452409-novotel-kuala-lumpur-city-centre,3.6667,8,4,1,2,3,50%,50%,2 Jalan Kia Peng Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,No Info,51 - 200 Employees,"Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),English,Admin (Monday to Friday) & Operation (Shift required)
3786,Hitachi Sunway Data Centre Services Sdn Bhd,https://www.jobstreet.com.my/en/companies/443192-hitachi-sunway-data-centre-services,3.8889,6,7,3,1,1,83%,77%,"Unit 15-4, Block F1, Jln PJU 1/42, Dataran Prima, 47301 Petaling Jaya, Selangor, Malaysia",hitachi-sunway-is.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3787,DAYA OCI SDN BHD,https://www.jobstreet.com.my/en/companies/445338-daya-oci,3.8889,4,8,6,0,0,77%,88%,No. 9 & 11 Jalan P/8 Kawasan Perindustrian Bangi Seksyen 13 43650 Bandar Baru Bangi Selangor Malaysia,No Info,51 - 200 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3788,AmanahRaya Trustees Berhad,https://www.jobstreet.com.my/en/companies/451033-amanahraya-trustees-berhad,3.2778,5,4,3,3,3,55%,55%,"21 Jalan Melaka, City Centre, 50100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",No Info,51 - 200 Employees,"Dental, Education support, Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),Bahasa Malaysia & English,"Regular hours, Mondays - Fridays"
3789,TS Food Industry Sdn Bhd,https://www.jobstreet.com.my/en/companies/449541-ts-food-industry,1.6667,0,4,0,0,14,22%,27%,"No 8 Jalan Istimewa 8, Taman Perindustrian Cemerlang, 81800 Ulu Tiram, Johor, Malaysia",thongsiek.com,51 - 200 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),"Malay, English and Chinese","Regular hours, Mondays - Fridays"
3790,Awatra Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/441656-awatra,3.2778,6,4,2,1,5,77%,61%,"33-3, Level 33, Wisma UOA2, 21 Jalan Pinang, 50450 Kuala Lumpur",awatra.com,1 - 50 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3791,Green Island Feed Mills Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/1218987-green-island-feed-mills,2.5,5,2,0,1,10,55%,38%,"Lorong Perindustrian Bukit Minyak 17, Seberang Perai Tengah, 14100 Bukit Mertajam  Penang",No Info,51 - 200 Employees,Medical,Business (e.g. Shirts),"English, Bahasa Malaysia, Mandarin",Mondays - Saturday
3792,THE ECEOS SDN BHD,https://www.jobstreet.com.my/en/companies/453403-the-eceos,3.3889,6,5,2,0,5,83%,66%,Klcc Jalan Ampang Kuala Lumpur City Centre Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,eceos.com,51 - 200 Employees,"Medical, Dental, Maternity, Insurance, Laptop",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
3793,TEY LING & ASSOCIATES,https://www.jobstreet.com.my/en/companies/818873-tey-ling-n-associates,4.1111,7,8,2,0,1,100%,88%,"Setia Avenue, Shah Alam, Selangor",teyling.com,1 - 50 Employees,"Education support, Parking",Formal (e.g. Shirts + Ties),"English, Bahasa & Chinese","Regular hours, Mondays - Fridays"
3794,IIUM Advanced Technologies Sdn Bhd,https://www.jobstreet.com.my/en/companies/650297-iium-advanced-technologies,4.2222,8,8,1,0,1,66%,77%,"Level 2, Block B, Kuliyyah of Information & Communication Technology, P. O. Box 10, 50728 Kuala Lumpur",No Info,1 - 50 Employees,No Info,No Info,No Info,No Info
3795,Sony EMCS Sdn. Bhd. (TS),https://www.jobstreet.com.my/en/companies/1245617-sony-emcs-ts,4.7222,14,3,1,0,0,94%,77%,No Info,No Info,Not Specified,No Info,No Info,No Info,No Info
3796,EMRAIL SDN BHD,https://www.jobstreet.com.my/en/companies/469179-emrail,3.6111,7,4,3,1,3,94%,77%,"Block C1, Dtaran Prima, Jalan PJU 1/41, 47301 Petaling Jaya",emrail.com.my,51 - 200 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3797,MS Supply Chain Solutions (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/473304-ms-supply-chain-solutions-m,3.8889,11,1,2,1,3,83%,72%,"Lot 524, Jalan P10/10, 43650 Bandar Baru Bangi, Selangor D.E. Malaysia",No Info,201 - 500 Employees,"Medical, Miscellaneous allowance, Parking, Life, Critical & PA Insurance",Company's Uniform,English,"Regular hours, Mondays - Fridays"
3798,Chubb Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/440676-chubb-malaysia,3.5556,7,5,1,1,4,66%,55%,"No.2, Jalan Perdagangan Subang Mas, Pusat Perdagangan Subang Mas, 47620 Subang Jaya, Selangor Darul Ehsan, Malaysia",No Info,201 - 500 Employees,"Dental, Medical  extended to familly member, Medical, Parking, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3799,ERICAN EDUCATION GROUP,https://www.jobstreet.com.my/en/companies/442310-erican-education-group,3.2353,4,5,2,3,3,72%,55%,"Block C, 1st Floor, Megan Avenue II, No. 12, Jalan Yap Kwan Seng, 50450 Kuala Lumpur",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, COMMISSION",FORMAL ATTIRE,"English,Mandarin and Bahasa Malaysia.",MONDAY-SUNDAY(EXCEPT 1 DAY OFF)
3800,PATHFINDER M & E SDN BHD.,https://www.jobstreet.com.my/en/companies/451024-pathfinder-m-n-e,2.8889,3,5,3,1,6,83%,44%,"NO 69A JALAN TSB 10A,TAMAN INDUSTRIAL SG BULOH 47000 SG BULOH SELANGOR",No Info,1 - 50 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3801,Event Works Sdn Bhd,https://www.jobstreet.com.my/en/companies/471262-event-works,3.2222,7,2,3,0,6,66%,66%,Sri Hartamas Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,eventworkskl.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Parking",Casual (e.g. T-shirts),English,Saturdays/Shift required
3802,Mattel Development and Tooling Sdn Bhd,https://www.jobstreet.com.my/en/companies/439426-mattel-development-and-tooling,4.1667,10,5,1,0,2,83%,88%,"Plot 484, Tingkat Perusahaan 6A, Prai Free Trade Zone, Prai Industrial Estate, 13600 Perai Penang Malaysia",No Info,201 - 500 Employees,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
3803,TriAset Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/440753-triaset,3.5,3,7,5,2,1,88%,77%,"Unit 23-5, Block E1 Jalan PJU 1/42, Dataran Prima, 47301 Petaling Jaya, Selangor",triaset.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Dental, Staff overtime and transport compensation, Training",Casual Smart,English,"Regular hours, Mondays - Fridays"
3804,Bossard (M) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/439502-bossard-m,3.7222,7,6,1,1,3,83%,72%,Simpang Ampat Penang Malaysia,bossard.com,51 - 200 Employees,"Medical, Dental, Team building, Inhouse Fitness Workout, Gym, Incentive Trip",Smart Casual,English,"Regular hours, Mondays - Fridays"
3805,Bina Warehouse Sdn Bhd,https://www.jobstreet.com.my/en/companies/441748-bina-warehouse,3.875,10,0,3,0,3,83%,55%,"22 Jalan Kampung Attap, Kampung Attap, 50460 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",binawarehouse.com,51 - 200 Employees,"Medical, Parking",Formal & Uniform,English,"Regular hours, Mondays - Fridays"
3806,Malaysian Rubber Council,https://www.jobstreet.com.my/en/companies/440975-malaysian-rubber-council,3.0,5,2,4,2,5,83%,44%,"MREPC, Unit No 36-02, Level 36, Q Sentral, 2A Jalan Stesen Sentral 5, KL Sentral, 50470 Kuala Lumpur",myrubbercouncil.com,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3807,Endress+Hauser (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/441266-endress-hauser-m,2.7778,1,3,8,3,3,72%,44%,"No. 27, Jalan Astaka U8/84, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia",my.endress.com,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Training and development",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3808,MATC Technology (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/808585-matc-technology-m,3.5556,5,4,6,2,1,66%,61%,MATC Technology (M) SDN BHD Jalan Tunas Baru Seksyen 1/10 Taman Perindustrian Masjid Tanah Masjid Tanah Malacca Malaysia,No Info,501 - 1000 Employees,"Medical, Miscellaneous allowance, Parking, Sports (e.g. Gym)",Company Uniform,Chinese,"Regular hours, Mondays - Fridays"
3809,HATI INTERNATIONAL SDN. BHD.,https://www.jobstreet.com.my/en/companies/1003267-hati-international,3.1111,8,1,1,1,7,55%,44%,Penang,sdglobaltech.com,51 - 200 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3810,MUMTAZ GENERATION INTERNATIONAL SDN. BHD.,https://www.jobstreet.com.my/en/companies/865078-mumtaz-generation-international,2.2778,3,2,2,1,10,27%,33%,No Info,mumtazgeneration.com,51 - 200 Employees,"Miscellaneous allowance, Education support, Loans, Parking, Employee Stock Option","Traditional (Baju Kurung) ,Slack, Loose Blouse, Scarf",English,"Regular hours, Mondays - Fridays"
3811,RED CONTACT SDN. BHD.,https://www.jobstreet.com.my/en/companies/1007340-red-contact,4.1667,13,1,0,2,2,94%,77%,"IOI Boulevard, Jalan Kenari 5, Bandar Puchong Jaya",redcontact.com.my,51 - 200 Employees,"Medical, Miscellaneous allowance, EPF, SOCSO, EIS, Medical Group Insurance, Bonus, Increment, Company Trip, Hp.",Casual (e.g. T-shirts),English,Saturdays/Shift required
3812,INSCALE,https://www.jobstreet.com.my/en/companies/446747-inscale,4.3333,12,4,0,0,2,94%,88%,"Level 22, Menara Binjai, No. 2 Jalan Binjai, 50450, Kuala Lumpur.",inscale.net,201 - 500 Employees,"Medical, Dental, Sports (e.g. Gym), Vision",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
3813,JVV INTERNATIONAL SDN BHD,https://www.jobstreet.com.my/en/companies/460701-jvv-international,2.1667,4,1,1,0,12,55%,22%,"A2-40-1, Soho Suites @ KLCC, No. 20, Jalan Perak, 50450 Kuala Lumpur",jvv,1 - 50 Employees,Medical,Formal (e.g. Shirts + Ties),Mandarin,Saturdays/Shift required
3814,MAFIPRO Sdn Bhd,https://www.jobstreet.com.my/en/companies/439622-mafipro,3.7778,7,6,2,0,3,77%,77%,"Lot 103, Jalan Perusahaan 3, Kamunting Industrial Estate, 34600 Taiping, Perak Malaysia",denisgroup.net,501 - 1000 Employees,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
3815,ZF Chassis Systems Sdn Bhd,https://www.jobstreet.com.my/en/companies/462005-zf-chassis-systems,3.6667,7,4,2,4,1,72%,55%,"Lot 1453, Kawasan Perindustrian Padang Meha, Mukim Padang Meha, 09400 Padang Serai, Kedah",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Vision, Insurances",Company Uniform,English,"Regular hours, Mondays - Fridays"
3816,SARADISE SDN. BHD.,https://www.jobstreet.com.my/en/companies/985603-saradise,2.8333,3,5,1,4,5,72%,50%,"Titanium Tower, Lot 1, Brighton Square, Jalan Song, Kuching, Sarawak",saradise.my,1 - 50 Employees,"Medical, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3817,MYKORI HOLDINGS SDN. BHD.,https://www.jobstreet.com.my/en/companies/1275385-mykori-holdings,2.3333,4,1,2,1,10,61%,27%,Puchong Selangor,No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3818,Koa Denko (Malaysia) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/441165-koa-denko-malaysia,4.0556,8,6,2,1,1,94%,83%,"Lot 7, 8 & 9, Batu Berendam Free Trade Zone, 75350 Melaka, Malaysia",No Info,501 - 1000 Employees,"Medical, Miscellaneous allowance, Parking",Uniforms provided,English,"Regular hours & shift hours, depending on department"
3819,PEC (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/454996-pec-malaysia,4.1111,11,2,3,0,2,83%,61%,"Jalan Tun Hussein Onn, 97000 Bintulu, Sarawak",No Info,201 - 500 Employees,"Medical, Transportation, Insurance",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
3820,GTC Associates,https://www.jobstreet.com.my/en/companies/448391-gtc-associates,3.0556,2,6,5,1,4,88%,50%,"18-11-1, Menara Q Sentral, No. 2A, Jalan Stesen Sentral 2,  Kuala Lumpur Sentral 50470 Kuala Lumpur",my-gtc.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Education support, Parking",Formal (e.g. Shirts + Ties),English,Long hours
3821,GTC Associates,https://www.jobstreet.com.my/en/companies/448391-gtc-associates,3.0556,2,6,5,1,4,88%,50%,"18-11-1, Menara Q Sentral, No. 2A, Jalan Stesen Sentral 2,  Kuala Lumpur Sentral 50470 Kuala Lumpur",my-gtc.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Education support, Parking",Formal (e.g. Shirts + Ties),English,Long hours
3822,DELTA FORCE SECURITY SERVICES & CONSULTANCY SDN. BHD. (KL),https://www.jobstreet.com.my/en/companies/472047-delta-force-security-services-n-consultancy-kl,3.8889,7,4,5,2,0,83%,72%,"No. 92 (2nd Floor), Jalan Tun Sambanthan (Brickfields), 50470 Kuala Lumpur",No Info,51 - 200 Employees,"Medical, Best Attendance, Paid Sick Leaves, Bonus, Career Enhancement, Team Gatherings",Formal (e.g. Shirts + Ties),Malay,Monday-Friday (9.00AM-5.00PM) & Alternate Saturday (9.00AM-1.00PM)
3823,NSW Automation Sdn Bhd,https://www.jobstreet.com.my/en/companies/445775-nsw-automation,4.0,11,2,1,2,2,83%,66%,"No.1 Jalan Beringin, Batu Maung, 11960 Bayan Lepas, Pulau Pinang.",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Bonus",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
3824,Castwell Industries (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/459537-castwell-industries-m,2.6667,2,5,1,5,5,66%,38%,"Lot 5755-3, Kidamai Industrial Park, Bukit Angkat Sungai Chua, 43000 Kajang, Selangor, Malaysia",castwell.com.my,51 - 200 Employees,"Medical, Loans, Parking",Business (e.g. Shirts),"English, Mandarin, Cantonese",8.30 am to 5.30 pm from Mondays to Fridays and 8.30 am to 1.00 pm on Saturday
3825,Maqo Technologies (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/464376-maqo-technologies-m,4.8889,16,2,0,0,0,83%,100%,"No. 27 Jalan TPP 1/1, Taman Perindustrian Puchong, 47100 Puchong Selangor",maqoSolar.com,1 - 50 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3826,TDST Sdn Bhd,https://www.jobstreet.com.my/en/companies/442556-tdst,3.3333,6,3,4,1,4,72%,44%,"1st & 2nd Floor Unit 15, PJ21 Commercial Centre SS3/39, 47300 Petaling Jaya, Selangor, Malaysia",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Education support, Vision","Fashionable, stylish and trendy wear","English, Malay, Mandarin","Regular hours, Mondays - Fridays"
3827,a2a Global Network Sdn Bhd,https://www.jobstreet.com.my/en/companies/815384-a2a-global-network,2.4444,4,2,2,0,10,72%,33%,"Lot 1205 - 1208, Faber Tower 2, Level 12, Jalan Desa Bahagia, Taman Desa, 58100 Kuala Lumpur.",a2aglobalnetwork.com,1 - 50 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3828,Ensign Infosecurity (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/441079-ensign-infosecurity-malaysia,4.1176,9,4,2,1,1,83%,77%,"L4-E-7, Enterprise 4, Technology Park Malaysia, Bukit Jalil, 5700, Kuala Lumpur",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
3829,eTiQa Insurance Bhd,https://www.jobstreet.com.my/en/companies/652442-etiqa-insurance,3.9444,8,4,4,1,1,83%,72%,121&121A Jalan SS 17/A Subang Jaya Petaling Jaya 47500,No Info,1 - 50 Employees,No Info,No Info,No Info,No Info
3830,Mitrajaya Holdings Berhad,https://www.jobstreet.com.my/en/companies/446775-mitrajaya-holdings-berhad,4.3333,10,6,1,0,1,94%,94%,selangor,No Info,1 - 50 Employees,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
3831,Far East Holdings Berhad (Kuantan),https://www.jobstreet.com.my/en/companies/448937-far-east-holdings-berhad-kuantan,4.2778,9,5,4,0,0,88%,72%,"Level 23, Menara Zenith, Jalan Putra Square 6, 25200 Kuantan, Pahang Darul Makmur, Malaysia.",fehb.com.my,51 - 200 Employees,"Medical, Hospitalization Insurance, Term Life Insurance",Business (e.g. Shirts),English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
3832,Charoen Pokphand (B'worth) Sdn Bhd/PK Agro Industrial Produc,https://www.jobstreet.com.my/en/companies/636853-charoen-pokphand-bworth-pk-agro-industrial-produc,4.2222,9,6,2,0,1,88%,83%,"Lot 1361, Lorong Mak Mandin 3 Mak Mandin Industrial Estate Butterworth 13400",No Info,51 - 200 Employees,No Info,No Info,No Info,No Info
